Kelime,Frekans
1997,371
000,231
kanun,179
madde,161
hale,159
seçim,158
karar,148
sayılı,138
teklif,137
günü,134
müdürlük,132
şartname,118
hüküm,104
belge,102
saat,99
sayfa,96
usul,95
olarak,88
resmî,88
başkanlık,86
bedel,86
gazete,85
genel,85
şubat,81
ihale,80
parti,78
son,78
tarihî,77
kadar,75
1996,72
tefe,71
bir,69
Yargıtay,69
dava,69
göre,68
adet,68
belediye,67
sayı,67
yapıl,66
22909,64
alın,62
hukuk,62
teminat,59
mahkeme,58
cumhuriyet,56
kurulu,55
başsavcılık,54
ilgili,54
devlet,52
uygun,52
kabul,52
bakanlık,50
iş,50
daire,49
yıl,48
yarar,48
mektup,48
veril,48
geçici,47
zarf,47
üzere,47
2886,46
siyasi,46
dış,45
ilçe,45
şirket,44
kurul,44
gerek,44
davalı,42
sonuç,42
kapalı,42
2972,41
malzeme,41
1998,41
satış,41
gün,41
vade,40
bölüm,40
tabi,40
ait,40
temin,40
12t,39
hakkında,39
ticaret,38
ilan,37
birlikte,37
duruşma,37
taraf,37
hali,37
talep,36
yapılan,36
olan,36
esas,36
1995,36
gerekmek,36
Ankara,35
dosya,35
tarih,34
verilen,34
satı,34
karşı,34
yazılı,33
tebliğ,33
teknik,33
özel,32
olma,32
davacı,32
dolari,32
aday,32
komisyon,31
mahallî,31
evrak,31
diğer,31
ortak,31
nisan,30
sanayi,30
yargı,30
oda,29
kurum,29
liste,29
tari,29
meclis,29
edil,29
karşılık,29
olduk,29
adres,28
abd,28
al,28
aşağı,28
sonra,28
dair,27
süre,27
değer,27
geç,27
iştirak,27
olup,26
noter,26
şart,26
orman,26
tasdikli,26
bağlanma,26
tür,26
tanı,26
ver,25
firma,25
yönetmelik,25
mal,25
içinde,25
uyarınca,25
vadeli,25
üzerine,25
posta,25
çevre,25
yasa,25
aynı,24
pazar,24
haziran,24
muhakeme,24
427,24
katıl,24
vergi,24
dahil,24
önseçim,24
üyelik,23
seçmen,23
müracaat,23
banka,23
keşif,22
temyiz,22
500,22
100,22
nun,21
durum,21
nci,21
298,21
giriş,21
iii,21
12t16,21
stanbul,21
belirtilen,21
düşünül,21
edilebil,21
ede,21
adına,21
açıklanan,20
mayıs,20
kereste,20
verme,20
yapılma,20
1994,20
üye,20
alinacaktir,20
istekli,20
teslim,20
serbest,20
2820,20
satin,20
yukarı,20
tarafından,20
edilme,20
adalet,20
araç,20
bozulma,20
grup,19
şletmesi,19
neden,19
örneğin,19
sandık,19
suretiyle,19
ihtiyaç,19
gereğince,19
olmadık,19
yazı,19
ölçüm,19
edilen,19
gecikme,19
konu,18
boz,18
olmamak,18
beyan,18
gelen,18
şleri,18
yeni,18
sonunda,18
çam,18
Gaziantep,18
mali,17
yapı,17
60t,17
kalem,17
etkili,17
1999,17
itiraz,17
dilekçe,17
kes,17
kdv,17
yap,17
ilk,17
yüksek,17
yol,16
ay,16
bozulmasina,16
istek,16
bölge,16
kayın,16
sebep,16
incelenerek,16
aykırı,16
üncü,16
tanim,16
başvuru,16
yer,16
şletme,16
stekliler,16
bugünkü,16
dari,15
bildiri,15
diledik,15
kuruluş,15
oybirliğiyle,15
kısmen,15
olun,15
bulunan,15
merkez,15
yapıp,15
görüşülüp,14
salı,14
kredi,14
humk,14
bilgi,14
değil,14
Perşembe,14
sözleşme,14
sirküler,14
faiz,14
bakan,14
asıl,14
numara,14
edecek,14
dönem,14
fıkra,14
dayalı,14
miktar,14
katılmak,14
iflas,14
uygulan,14
incelenme,14
hak,14
senet,14
nden,14
itibaren,13
hasımsız,13
istenilmek,13
200,13
hangi,13
hazırlayacak,13
yaptirilacaktir,13
karne,13
gerekli,13
açı,13
beyanname,13
Çarşamba,13
içeren,13
dikkat,13
eş,13
uncu,13
imza,13
işlem,13
yapmamak,13
servis,13
arası,12
borçlan,12
ol,12
Türkiye,12
nunun,12
ton,12
meydan,12
kanu,12
husus,12
personel,12
esa,12
inci,12
fon,12
itibar,12
yürüt,12
almak,12
etmek,12
olmayıp,12
okunup,12
herhangi,12
satınal,12
ilişkin,12
Edi,12
gaz,12
sonuçlandırılma,12
başlanma,12
kupon,12
ndeki,12
ad,12
etibank,12
tenfiz,11
etme,11
bayındırlık,11
husumet,11
2675,11
müteahhitlik,11
mamoğlu,11
tespit,11
dare,11
vek,11
alındı,11
oran,11
fiyat,11
görev,11
Türk,11
milletlerarası,11
bent,11
yapılmaksızın,11
üzeri,11
olmak,11
değişik,11
larak,11
imkân,11
tescil,11
verilmeden,11
içeri,11
kullanıl,11
fazla,11
öde,11
peşin,11
çift,11
dâhilî,11
fai,11
me,11
alınma,11
ön,11
teşkil,11
savun,11
aylık,11
açılan,11
yargıla,11
şekil,11
250,11
basit,11
müessese,11
satişlarda,10
skan,10
muhaberat,10
yapmak,10
steklilerin,10
cuma,10
frangi,10
demir,10
olacak,10
cad,10
köy,10
110,10
açıl,10
vermek,10
gönderilme,10
kat,10
hal,10
egzoz,10
yöneltilme,10
alım,10
karşiliği,10
emisyon,10
tutar,10
taahhütname,10
yonga,10
kesinleşen,10
lunmuştur,10
iste,10
800,10
bulun,10
levha,10
isteyen,10
taşınmaz,10
lerine,10
birim,10
kayıt,10
raf,10
tel,10
ayın,9
salon,9
marka,9
bulunma,9
eğitim,9
yapacak,9
vakıf,9
borç,9
nin,9
verecek,9
sıra,9
benze,9
dan,9
öngörülen,9
toplantı,9
müdür,9
yet,9
aya,9
ayrı,9
750,9
yapılacak,9
kurulan,9
limit,9
iç,9
hâlen,9
şler,9
başlangıç,9
boşan,9
den,9
görülebil,9
144,9
huzur,9
makbuz,9
nde,9
cinsî,9
verilme,9
net,8
geçen,8
san,8
kontrplak,8
ortaklık,8
asliye,8
kayıtlı,8
tamamen,8
telgraf,8
dağıtım,8
satım,8
leri,8
dilek,8
mahalle,8
başbakanlik,8
bildirim,8
yetki,8
alan,8
büyük,8
kapla,8
beli,8
cumhuri,8
faks,8
şube,8
pazartesi,8
400,8
günlük,8
nakit,8
107,8
yöntem,8
ücretsiz,8
et,8
125,8
elektrik,8
tesis,8
yön,8
eksilt,8
mesai,8
üzerinde,8
hizmet,8
teşkilat,8
vekâleten,8
700,8
360,8
mart,8
açık,8
alınabil,8
şeflik,8
üniversite,8
hazır,8
odun,8
1991,8
ara,8
milli,8
günlü,8
başkan,8
tapu,8
let,8
kalas,8
tanınma,7
24t,7
nosu,7
istenme,7
kararın,7
bildirilme,7
36t,7
takdirde,7
suret,7
len,7
bankasi,7
fabrika,7
şahıs,7
biri,7
takvim,7
işe,7
snb,7
şletmemiz,7
muhtelif,7
çelik,7
bedelsiz,7
oluş,7
lan,7
incele,7
112,7
değerlendir,7
sahip,7
ceza,7
116,7
eksik,7
borlu,7
çalışma,7
stekli,7
bakiye,7
süresiz,7
124,7
kişi,7
hurda,7
kasım,7
36g,7
muhammen,7
muhtel,7
doğru,7
lambri,7
Van,7
ndi,7
birlik,7
hazi,7
peş,7
tahminî,7
model,7
para,7
otobüs,7
faaliyet,7
109,7
zorunlu,7
değiştirilme,7
tic,7
imzalan,7
bina,7
uygulanma,7
skenderun,7
300,7
vekâletname,7
119,7
knt,7
hisse,6
vaat,6
gösterge,6
sermaye,6
sınıf,6
bağlı,6
bulunmadık,6
rlenen,6
encümen,6
yeterli,6
arşiv,6
kalan,6
600,6
kayin,6
4mm,6
toplami,6
cumartesi,6
cins,6
nca,6
115,6
karan,6
ncı,6
başka,6
boraks,6
Erzurum,6
valilik,6
amaç,6
yetkili,6
olmadığında,6
kron,6
dareler,6
sokak,6
otoyol,6
şin,6
tesbiti,6
rulo,6
artır,6
cezalı,6
Suriye,6
baş,6
katılabil,6
olmayan,6
istenilen,6
Avni,6
söz,6
katılabilmek,6
2000,6
gelir,6
tek,6
taahhüt,6
abdo,6
heyet,6
nın,6
dır,6
oybirliği,6
taşıt,6
ederek,6
muhtarlık,6
karayolları,6
eldiven,6
ticari,6
yeterlilik,6
dir,6
uyruklu,5
verildik,5
işveren,5
lgili,5
ssk,5
yaptık,5
ancak,5
rektörlük,5
ülke,5
kütük,5
partili,5
temel,5
iptal,5
idare,5
istedik,5
lçe,5
4200,5
Toprakkale,5
yedek,5
sigorta,5
hasanbeyli,5
Sumbas,5
ihtiyar,5
gelebil,5
hariç,5
belde,5
öngörül,5
ibraz,5
görül,5
askı,5
kurulma,5
22549,5
bariyla,5
saatinde,5
hraç,5
tarım,5
müdürlü,5
geçerli,5
fakülte,5
kendi,5
Sabri,5
ncü,5
gelecek,5
tem,5
prof,5
ocak,5
başmüdürlük,5
Konya,5
ücret,5
ofis,5
bilgisayar,5
lif,5
lgi,5
müfettiş,5
parsel,5
kmal,5
yayımlanan,5
Aliağa,5
bed,5
satilacaktir,5
tır,5
fen,5
dar,5
108,5
kamu,5
Akpınar,5
idari,5
tomruk,5
fotokopi,5
toplam,5
teşekkül,5
kullanılmak,5
düzenlen,5
cadde,5
emir,5
soruştur,5
nceleme,5
iade,5
digital,5
ettik,5
abone,5
hareket,5
halk,5
işletme,5
birleşik,5
120,5
orani,5
dahi,5
ali,5
1993,5
nolu,5
türlü,5
yıllık,5
papel,5
çeşitli,5
adaylık,5
başlamak,5
indirim,5
tebligat,5
tamamlanma,5
döner,5
git,5
ürün,5
dönüş,5
toplan,5
teaş,5
konul,5
vezne,5
nönü,5
ler,5
büyükşehir,5
emval,5
yeniden,5
Elmadağ,4
göknar,4
takip,4
necatibey,4
970,4
tak,4
anılan,4
Zonguldak,4
Mamak,4
kaplama,4
aran,4
sçkb,4
fax,4
gönderme,4
makina,4
müsteşarlık,4
koruyucu,4
170x220,4
pazarla,4
104,4
doğrultu,4
şletmeleri,4
belirtil,4
gözlük,4
bakım,4
onarım,4
resim,4
prim,4
bildiril,4
vaki,4
nları,4
lecekti,4
numaralı,4
depo,4
011,4
un,4
kimse,4
nüfus,4
bandır,4
şletmemizin,4
Seydişehir,4
görevli,4
oğul,4
başlama,4
tamam,4
tarihli,4
demokrasi,4
kur,4
özellik,4
basım,4
göster,4
tutanak,4
elden,4
rasi,4
pusulalar,4
bağımsız,4
gönderilen,4
katılabilecek,4
bulunduk,4
üretim,4
ekler,4
değerlendirilme,4
kon,4
referans,4
mza,4
814,4
nşaatı,4
müteşebbis,4
boşal,4
lık,4
lçelerinin,4
altın,4
atm,4
zarflan,4
olmama,4
sanayii,4
caktır,4
yapım,4
tercih,4
kriter,4
dernek,4
ilaç,4
edebil,4
ettiril,4
810,4
imal,4
tahmin,4
başkent,4
mar,4
plan,4
105,4
bulunmak,4
doğ,4
140,4
pay,4
cebrî,4
kesinleş,4
cumhurbaşkanliği,4
öğretim,4
dolayı,4
7bkv,4
olduğunda,4
308,4
ppg,4
doğan,4
Hüseyin,4
yurt,4
merkezî,4
224,4
olanak,4
edilmeden,4
pul,4
yürürlük,4
Nevşehir,4
118,4
yaptırmayan,4
900,4
056,4
başbakanlık,4
denizli,4
gerektik,4
eder,4
trafik,4
212,4
2001,4
üçüncü,4
baca,4
denetim,4
tadil,4
muris,4
ince,4
aleyh,4
13ts,4
gürültü,4
143,3
yoklama,3
katlı,3
225,3
yaptırıl,3
stan,3
kapa,3
haberleş,3
yönetim,3
gel,3
çek,3
çıkarılan,3
kapsam,3
bitim,3
ngi,3
sterli,3
tedarik,3
195,3
sözleş,3
755,3
gereç,3
434,3
ması,3
tamamlan,3
liman,3
deniz,3
vasıta,3
men,3
Fevzi,3
yazım,3
nisbetinde,3
vali,3
bul,3
tamir,3
bütün,3
nev,3
hafif,3
ziya,3
kaplı,3
350,3
nari,3
193,3
20mm,3
gereken,3
düzey,3
bakımından,3
silah,3
lahsan,3
tahta,3
faizsiz,3
ları,3
verdik,3
2839,3
ödenmek,3
rapor,3
uygula,3
lköğretim,3
zsi,3
düzen,3
150,3
358,3
konulma,3
mirasçı,3
kullan,3
139,3
karoser,3
belirleme,3
yar,3
tadilat,3
gıtay,3
lerini,3
kâğıtla,3
148,3
yukaridaki,3
bildirme,3
iki,3
edildik,3
yerine,3
197,3
gir,3
2mm,3
nal,3
330,3
okal,3
kanat,3
fransiz,3
tamamlama,3
155,3
194,3
nşaat,3
organize,3
taban,3
doğumlu,3
Mehmet,3
havalı,3
çıkarıl,3
tahvi,3
teb,3
614,3
lira,3
hayda,3
sanık,3
iştirakçi,3
354,3
kaynaklanan,3
şti,3
alıcı,3
basımevi,3
çataloluk,3
bitir,3
287,3
alınmak,3
ortam,3
petrokimya,3
elektri,3
nlar,3
ley,3
tıp,3
bin,3
alınarak,3
kanuni,3
telekomünikasyon,3
121,3
tüp,3
kompleks,3
selvi,3
aç,3
306,3
3b13,3
misyon,3
6b16,3
vere,3
586,3
ilanen,3
çıkarılma,3
ağır,3
hastane,3
ortakliği,3
Avustralya,3
istenil,3
Avusturya,3
torba,3
114,3
lastik,3
169,3
belçi,3
motorlu,3
beraber,3
hur,3
2872,3
zorun,3
yeniköy,3
aykırılık,3
135,3
fiyatlı,3
113,3
kontrol,3
Seymen,3
isdemi,3
ödenme,3
Hollanda,3
flori,3
açtık,3
marki,3
refah,3
çerçeve,3
hazırlan,3
şçi,3
36g012,3
sol,3
demokratik,3
171,3
anavatan,3
kalorifer,3
taşkömürü,3
mevcut,3
122,3
alman,3
dövi,3
192,3
896,3
millet,3
reti,3
mukabil,3
yarı,3
planla,3
mecburi,3
name,3
lerde,3
montaj,3
daresi,3
Çin,3
gözönünde,3
yoksa,3
2894,3
yönetici,3
660,3
turizm,3
haiz,3
210,3
haşarat,3
sosyal,3
organ,3
240,3
kanlık,3
ket,3
değiştiril,3
böyle,3
kararname,3
girişil,3
yayınlanan,3
şir,3
yılın,3
ğına,3
kültür,3
ekim,3
smail,3
tutum,3
bel,3
kahraman,3
uygulama,3
mera,3
rinin,3
337,3
Esengün,3
1580,3
aracılık,3
miş,3
lütfü,3
gör,3
Abdullah,3
lerin,3
kazanan,3
taksim,3
alüminyum,3
zaman,3
kazanamayan,3
girebilmek,3
zmir,3
sınai,3
tıbbi,3
doç,3
dürlüğü,3
kırk,3
tesbit,3
boşalma,3
sin,3
kadastro,3
yatırma,3
larının,3
kiralan,3
beş,3
asit,3
bile,3
yesi,3
edilebilin,3
154,3
tebli,3
gat,3
ilam,3
nedeniyle,3
mevzuat,3
alacak,3
dayanılarak,3
kanıtlayıcı,3
açıklan,3
bulvar,3
kınkkale,3
açılmadan,3
bilindik,3
blok,3
tuğla,3
ayn,3
yali,3
saptanma,3
101,2
geliştir,2
telefon,2
satıl,2
motor,2
sına,2
talaş,2
Amerika,2
benzeri,2
başvurma,2
123,2
atc,2
duyurul,2
yüce,2
geli,2
katina,2
Amerikan,2
esnaf,2
