Kelime,Frekans
1997,371
000,231
sayılı,138
seçim,108
günü,105
hale,99
teklif,94
sayfa,94
resmi,88
olarak,88
karar,86
genel,85
gazet,85
saat,82
şubat,81
kadar,74
1996,72
tefe,71
bir,69
göre,68
adet,68
yargıtay,67
kanunun,65
22909,64
sayı,64
maddesi,62
son,59
vade,57
müdürlüğü,57
cumhuriyet,56
kanun,54
usulü,53
ilgili,51
hukuk,51
devlet,50
uygun,50
yararına,48
belediy,47
geçici,47
üzere,47
siyasi,46
2886,46
haley,44
kapalı,42
teminat,42
12t,41
hükmün,41
2972,41
ilç,41
1998,41
ait,40
usul,39
bölümü,39
müdürlüğünden,38
ticaret,38
ihal,37
temin,37
bede,37
birlikt,37
duruşma,37
1995,36
esa,36
gün,36
yapılan,36
ankara,35
mahal,34
satın,34
verilen,34
belgesi,34
dair,34
davanın,34
olan,34
davalı,34
yazılı,33
gerekmektedir,33
teknik,33
hakkında,32
halind,32
özel,32
dolari,32
davacı,32
başsavcılığı,32
tarihi,31
diğer,31
şartnam,31
maddesin,31
sanayi,30
yargı,30
yapılacak,30
nisan,30
tari,29
karşı,29
sonra,28
abd,28
tabi,28
mahkemec,28
karara,27
gereği,27
mektubu,27
kurulu,27
meclisi,27
olup,26
tanıma,26
tasdikli,26
önseçim,26
geç,26
başkanlığı,26
partilerin,26
orman,26
şirketimiz,25
zarf,25
malzem,25
noter,25
uyarınca,25
üzerin,25
satış,25
pazar,24
aynı,24
haziran,24
kabul,24
dışı,24
dahil,24
olması,24
427,24
iştirak,23
içind,23
dairesinden,23
100,22
mahkemesi,22
tarafa,22
bağlanması,22
temyiz,22
aday,22
partisi,22
hükümlerin,22
keşif,22
500,22
seçmen,22
madd,21
tebliğ,21
298,21
iii,21
yapılacaktır,21
mal,21
nci,21
stanbul,21
12t16,21
nun,21
adına,21
belirtilen,21
düşünüldü,21
2820,20
1994,20
edilebilir,20
odası,20
verildi,20
yasaya,20
alinacaktir,20
satin,20
maddesinin,20
açıklanan,20
mayı,20
ilan,20
teklifl,20
adalet,20
tarafından,20
gereğinc,19
gecikmel,19
şletmesi,19
dosya,19
tarih,19
sonuç,19
tarihind,19
tarihinden,19
sandık,19
karşılığında,19
hüküm,19
alma,19
edilen,19
suretiyl,19
bozma,18
yeni,18
bozulması,18
bedel,18
gaziantep,18
olmamak,18
dairesi,18
edilmesi,18
çam,18
bakanlığının,18
sonunda,18
banka,18
şleri,18
belgeleri,18
başkanlığından,17
yapı,17
serbesttir,17
etkili,17
evrak,17
1999,17
yüksek,17
mali,17
kdv,17
değer,17
kanuna,17
ilk,17
girişim,17
60t,17
gününde,17
işin,17
aşağıdaki,17
eden,17
ihaley,17
olduğu,16
şartnamesi,16
üncü,16
üyeliği,16
bozulmasina,16
incelenerek,16
kayın,16
şletm,16
başsavcılığının,16
bedelinin,16
bugünkü,16
steklil,16
komisyonu,16
kesin,16
ihtiyacı,16
tanim,16
yapıp,15
dari,15
olunur,15
teslim,15
yukarıda,15
kısmen,15
sebepl,15
oybirliğiyl,15
merkez,15
yılı,15
aydan,14
dava,14
salı,14
kabulün,14
bulunan,14
verm,14
yazısı,14
değildir,14
bakanı,14
ortak,14
gelen,14
katılmak,14
perşemb,14
sirküleri,14
görüşülüp,14
dayalı,14
kabulü,14
nden,14
incelenmesi,14
humk,14
belgelerini,14
üye,14
çevr,14
dikkat,13
hasımsız,13
itibaren,13
yaptirilacaktir,13
seçimlerinin,13
alınacaktır,13
kalem,13
yapılması,13
alınmış,13
yapmamakta,13
istenilmekl,13
numarası,13
uncu,13
200,13
hükümleri,13
imza,13
sonuca,13
içeren,13
işler,13
çarşamba,13
dış,13
aykırı,13
lerin,13
kurumumuz,13
satınalma,12
müdürlüğümüz,12
fon,12
türki,12
ndeki,12
isteğinin,12
ilişkin,12
dilediğin,12
muhakemeleri,12
kanu,12
ölçüm,12
nunun,12
borçlanma,12
ihaleyi,12
sonu,12
türü,12
türkiy,12
muhakemesi,12
meydana,12
hangi,12
almak,12
alınmayacaktır,12
edi,12
herhangi,12
inci,12
ton,12
tabidir,12
etibank,12
kanununa,12
okunup,12
katılma,12
başlanması,12
olmayıp,12
şartnamel,12
dönem,12
savunma,11
imkanı,11
verilmeden,11
tenfiz,11
sonuçlandırılması,11
250,11
yapılmaksızın,11
davalarındaki,11
itibarla,11
larak,11
yargılama,11
teşkili,11
eşe,11
fai,11
milletlerarası,11
peşin,11
hukuku,11
husumet,11
müracaat,11
aylık,11
taraf,11
basit,11
talebini,11
yönetmelik,11
vermeleri,11
2675,11
açılan,11
talebinin,11
şarttır,11
çift,11
üzeri,11
şekild,11
türk,11
mektuplarını,11
işi,11
müteahhitlik,11
kanunu,11
bildirisi,11
vek,11
yapılır,11
dare,11
bayındırlık,11
teminatı,11
postada,11
başkanlığına,11
belgel,11
süresi,11
değişik,11
aşağıda,11
mamoğlu,11
kurulları,11
yılında,11
miktarı,11
bedelin,11
kesinleşen,10
personel,10
seçimlerin,10
demir,10
lunmuştur,10
başvuru,10
etmek,10
bölge,10
partil,10
müracaatlar,10
açı,10
110,10
skan,10
belg,10
yonga,10
limit,10
yöneltilmesi,10
rafından,10
satişlarda,10
karşiliği,10
karşılığı,10
800,10
adı,10
alınmaz,10
emisyon,10
egzoz,10
ödeme,10
muhaberat,10
cuma,10
değerleri,10
steklilerin,10
kupon,10
gerekli,10
frangi,10
cad,10
dilekçenin,10
şirket,10
verilmiş,9
den,9
yürütme,9
dan,9
durum,9
kararları,9
eğitim,9
salonunda,9
boşanma,9
nin,9
alım,9
listelerinin,9
kurulan,9
yet,9
yolu,9
144,9
750,9
aya,9
parti,9
kararın,9
yıl,9
gönderilmesin,9
uygulanacaktır,9
kurullarına,9
ayının,9
kat,9
görülebilir,9
nde,9
kerest,9
kurullarının,9
faizi,9
şartnamesin,9
kanununun,9
şler,9
beyanı,9
servisin,9
öngörülen,9
benzer,9
ilanı,9
oranında,8
olmak,8
yapmakta,8
yapılacağı,8
tamamen,8
araç,8
birim,8
büyük,8
cinsi,8
pazartesi,8
başkanlıklarına,8
kala,8
günlü,8
hazır,8
postadaki,8
kaplama,8
geçen,8
başkanlığında,8
içi,8
senetleri,8
360,8
125,8
başbakanlik,8
hazırlayacakları,8
ücretsiz,8
700,8
mart,8
nakit,8
let,8
mesai,8
konusu,8
bakanlığına,8
günlük,8
kararı,8
elektrik,8
şartnamed,8
örneğinin,8
arasında,8
önce,8
leri,8
107,8
bakanlığından,8
örneğin,8
1991,8
huzurunda,8
ortaklarca,8
olmadığına,8
ortaklık,8
kayıtlı,8
grup,8
kurullarınca,8
marka,8
taahhütnamesini,8
nedenlerl,8
tekliflerini,8
cumhuri,8
milli,8
beli,8
400,8
asliy,8
vergil,8
edilecektir,8
vekaleten,8
san,8
beyannamesi,8
net,8
itirazların,7
beyanını,7
bilgi,7
firmanın,7
tescil,7
işe,7
istenmesi,7
şube,7
borcu,7
takdird,7
dilekç,7
len,7
alındı,7
imzalanmış,7
bedelsiz,7
vergi,7
şartnamenin,7
müdürlüğüne,7
nosu,7
skenderun,7
kurulunca,7
üniversitesi,7
belediyemiz,7
muhtelif,7
dahilind,7
ndi,7
çelik,7
van,7
hazi,7
listelerin,7
tahmini,7
tic,7
süresiz,7
knt,7
kararının,7
tanınması,7
kontrplak,7
alınabilir,7
lambri,7
109,7
faaliyet,7
fazla,7
peşi,7
maddesind,7
zarfları,7
durumu,7
stekli,7
doğru,7
ara,7
aslı,7
kerested,7
bildirilmesi,7
tespiti,7
muht,7
kasım,7
fıkrasında,7
açılacaktır,7
şletmemiz,7
muhammen,7
snb,7
vermekt,7
lan,7
hak,7
yapmış,7
36t,7
300,7
36g,7
model,7
124,7
borlu,7
açık,7
116,7
yol,7
hakkındaki,7
kurulunun,7
24t,7
119,7
112,7
süre,7
incelem,7
dışında,7
bankasi,7
olacaktır,6
edilmez,6
tesbiti,6
para,6
bulunması,6
malzemesi,6
600,6
ticari,6
hurda,6
telgraf,6
firmaların,6
darel,6
kredisi,6
oybirliği,6
nca,6
cumartesi,6
vakfın,6
ifla,6
kuruluna,6
isteyen,6
kalan,6
katılacak,6
yeterlilik,6
başka,6
vaadi,6
şartnamesind,6
gazı,6
yılda,6
verilmiştir,6
adresindeki,6
suriy,6
avni,6
olmadığından,6
katılmaya,6
erzurum,6
tarihin,6
üyelikleri,6
karan,6
abdo,6
yapılmasına,6
hald,6
davalılar,6
vereceklerdir,6
karayolları,6
cin,6
bağlı,6
içerisindeki,6
sözleşmesi,6
başkanlığının,6
teli,6
toplami,6
bulunacak,6
yap,6
isteklil,6
evrakın,6
kullanılmamış,6
seçimin,6
115,6
ncı,6
levha,6
istemiş,6
ederek,6
olmayan,6
başlangıç,6
kayin,6
rlenen,6
satım,6
kuruluş,6
4mm,6
kronu,6
tebliği,6
şin,6
gösterg,6
vermesi,6
saati,6
bakanlığı,6
tesi,6
istenilen,6
dır,6
nın,6
halen,6
tapu,6
borak,6
katılabilmek,6
sermay,6
sıra,6
cezalı,6
2000,6
yeterli,6
gelir,6
posta,6
olmadığı,6
dir,6
şartnamesindeki,5
tomruk,5
müdürlü,5
tarihleri,5
kamu,5
gelecek,5
verilmesi,5
dağıtım,5
gününün,5
yeniden,5
temel,5
müdürü,5
adresinden,5
kmal,5
kurum,5
akpınar,5
değerlendirmey,5
prof,5
orani,5
kullanılmak,5
22549,5
eksik,5
toplam,5
lgi,5
işlerl,5
hraç,5
istediği,5
tutarının,5
tarım,5
zarfla,5
birleşik,5
ayrıca,5
etm,5
abon,5
edecek,5
arşiv,5
ilandan,5
108,5
döner,5
kurumu,5
müessesesi,5
encümen,5
120,5
talebi,5
makbuz,5
kurulmasına,5
olmaları,5
teşkilat,5
nedenl,5
tariht,5
bilgisayar,5
lçe,5
ihtiyar,5
ali,5
yıllık,5
alan,5
teaş,5
eksiltm,5
digit,5
sumba,5
hasanbeyli,5
toprakkal,5
firmalar,5
4200,5
edilmeyecektir,5
gelebilecek,5
tır,5
kurumlar,5
tamamlanması,5
yer,5
dilekçesi,5
çevrelerind,5
bariyla,5
vadel,5
sokak,5
ler,5
nönü,5
soruşturma,5
senet,5
ncelem,5
yönetmeliği,5
söz,5
bakiyesi,5
şartnameleri,5
katılabilecek,5
talep,5
grubundan,5
başsavcılığınca,5
amacı,5
tekliflerin,5
dahi,5
fen,5
listelerini,5
vergisi,5
mektupları,5
büyükşehir,5
ancak,5
konya,5
partili,5
faiz,5
ssk,5
hariç,5
belediyesi,5
askıya,5
türlü,5
yayımlanan,5
zorunludur,5
şart,5
madded,5
sabri,5
olduğuna,5
nolu,5
konu,5
1993,5
satışlarda,5
dar,5
ncü,5
başlamak,5
çeşitli,5
satilacaktir,5
indirim,5
uygulanmasına,5
görev,5
ölçümü,5
aliağa,5
idari,5
ocak,5
lgili,5
odunu,5
karnesi,5
seçimlerd,5
kriterl,4
ettikleri,4
satışa,4
hakkın,4
olmaması,4
212,4
düzenlenmiş,4
sçkb,4
alınmasına,4
denizli,4
mar,4
dolayı,4
yapım,4
iptali,4
anılan,4
üzerinden,4
giriş,4
tarihli,4
beyannamesinden,4
tercihind,4
ihalesind,4
tahmin,4
alınır,4
iflasına,4
derneği,4
itiraz,4
göknar,4
kredisinden,4
etmeleri,4
kullanılacak,4
edilmeden,4
bulunmadığı,4
yaptığı,4
170x220,4
rasi,4
900,4
sanayii,4
118,4
başkanlarına,4
binasında,4
müdürlükleri,4
bağlanmasının,4
değiştirilmesin,4
adaylık,4
bağımsız,4
zarflan,4
gönderilen,4
öğretim,4
atm,4
rulosu,4
tebligat,4
kayıt,4
gerektiği,4
bölgesi,4
7bkv,4
müteşebbi,4
nşaatı,4
13t,4
fiyat,4
kaydıyla,4
teslimi,4
056,4
105,4
caktır,4
başbakanlık,4
maddeleri,4
demokrasi,4
ayrı,4
fıkrasına,4
baş,4
nları,4
oğlu,4
ppg,4
sonucu,4
308,4
011,4
cumhurbaşkanliği,4
artırma,4
lecekti,4
ettirilecektir,4
gidecek,4
dönüşüne,4
tel,4
fak,4
ederim,4
2001,4
alına,4
yöntemi,4
çalışmalarına,4
pulu,4
zonguldak,4
sınıf,4
koruyucu,4
104,4
eldiveni,4
yetkiy,4
kütükleri,4
otobü,4
makina,4
elmadağ,4
konuda,4
organ,4
şletmeleri,4
komisyon,4
lçelerinin,4
lık,4
tek,4
verilecektir,4
alınacak,4
yasa,4
öngörülmüştür,4
bakım,4
onarım,4
sureti,4
fax,4
970,4
işlemlerinin,4
kanunlarda,4
çevrelerin,4
sonuna,4
başlaması,4
814,4
zarfa,4
inc,4
mza,4
karnesinin,4
yönetmeliğin,4
belgesinin,4
tespit,4
katılabilecekleri,4
referan,4
dosyası,4
dahili,4
belgeyi,4
üzerind,4
araçların,4
değerlendirilmesi,4
vaki,4
saatleri,4
bed,4
malzemenin,4
istekliy,4
elden,4
sözleşmeleri,4
taşınmazın,4
olduğundan,4
caddesi,4
komisyonunca,4
hazırlayacakla,4
aleyhin,4
almaya,4
üçüncü,4
köi,4
belgesini,4
gelenlerden,4
ibraz,4
aslını,4
undan,4
necatibey,4
muri,4
şletmemizin,4
şartnamesinin,4
cebri,4
faksla,4
numaralı,4
köyü,4
olmayacak,4
arasındaki,4
taraflar,4
müessesemiz,4
alınmasını,4
bandırma,4
bildirisini,4
taahhüdündeki,4
pazarlama,4
iad,4
sözleşmesini,4
edecekleri,4
gerekmiştir,4
başkent,4
140,4
vekaletnameleri,4
hüseyin,4
nevşehir,4
lif,4
810,4
isteklilerin,4
224,4
tak,4
bakanlıkça,4
içerisind,4
doğan,4
edenin,4
davaya,4
şefliğin,4
toplantı,4
yapacakları,4
göndermeleri,4
halelerin,4
ver,4
başvurular,3
gürültü,3
ediliyor,3
taşkömürü,3
şti,3
süreler,3
oda,3
tadil,3
olacak,3
montajı,3
nal,3
2839,3
karşısı,3
306,3
ları,3
kaynaklanan,3
bendinin,3
yurt,3
lahsan,3
yürütür,3
154,3
silah,3
bitirm,3
tabanca,3
havalı,3
alındılar,3
partinin,3
oranındadır,3
bulunduğu,3
stan,3
esasları,3
taahhüt,3
taksim,3
ziya,3
yali,3
330,3
bakımından,3
yerlerd,3
fiyatlı,3
başkan,3
nari,3
hafif,3
yürürlüğe,3
mevcut,3
nedeniyl,3
birliği,3
işlemleri,3
şartnamey,3
edeceklerdir,3
resim,3
belediyel,3
gelmiş,3
olmadıklarının,3
fransiz,3
kurulmuş,3
isdemi,3
seçimlerind,3
idarel,3
avustralya,3
kanada,3
tedarik,3
belediyelerd,3
kanunda,3
755,3
434,3
şartnamemiz,3
katlı,3
makbuzu,3
istenilmiş,3
