Kelime,Frekans
2025,448
gazete,423
resm,416
sayfa,412
sayı,409
nisan,401
32882,400
eğitim,265
hizmet,217
sağlık,185
işlem,135
mill,119
yürütmek,118
belge,117
hale,115
madde,109
bakanlık,104
ilişkin,103
ilgili,103
müdürlük,103
teklif,95
görev,93
kapsam,84
ihale,84
alan,83
kurum,75
birim,74
olarak,73
yönetmelik,70
tarafından,67
şube,67
tesis,66
yer,64
kuruluş,64
özel,62
sayılı,62
müdür,61
başvuru,59
bir,58
şartname,56
hüküm,56
faaliyet,52
bilgi,50
tarihî,49
uluslararası,49
turizm,47
öğretim,47
kanun,47
adres,46
kişi,46
mevzuat,46
bedel,46
sınav,46
hali,44
sağlamak,43
aracı,43
yetki,43
okul,42
edil,41
yapmak,41
genel,39
öğrenci,39
olan,38
konu,37
çalışma,37
tarihli,36
personel,35
000,34
yapıl,34
kayıt,34
komisyon,33
teminat,33
göre,32
uygun,32
üzere,32
satış,32
belirtilen,32
içinde,31
süre,31
esas,31
dış,31
olmak,30
aday,30
güvenlik,30
ilçe,29
teknik,29
verilen,29
tüzel,29
karar,29
alım,29
başkanlık,29
etmek,29
yönelik,29
sahip,28
günü,28
belediye,27
teslim,27
usul,27
cihaz,27
olma,26
kontrol,26
taşınmaz,26
üzerinde,26
diğer,25
edilen,25
şunlar,25
tıbbi,24
durum,24
mühendislik,24
aşağı,24
hastane,24
Ankara,23
fiyat,23
hak,23
mesleki,23
puan,22
kadar,22
ilan,22
yabancı,22
ürün,21
denetim,21
yapılan,21
son,21
standart,21
sonuç,21
bölüm,21
sorumlu,21
geliştir,20
bulunan,20
belirlenen,20
program,20
zorunlu,20
doküman,20
bağlı,20
fazla,20
şart,20
hakkında,20
Türk,20
sistem,20
açık,20
yapı,20
tarih,19
posta,19
olduk,19
yürütülme,19
olup,19
devlet,19
yurt,19
geçici,19
yıl,19
fon,19
mal,19
destek,18
imza,18
turist,18
takvim,18
öğretmen,18
ülke,18
gerekmek,18
asıl,18
üniversite,18
alınan,17
veri,17
saat,17
ihtiyaç,17
üye,17
belirlen,17
ortak,17
gerçek,17
liste,17
tespit,17
kalem,17
gösteren,16
ada,16
numara,16
kadro,16
bölge,16
mektup,16
büro,16
almak,16
yetkili,16
kamu,16
değerlendir,16
ait,16
parsel,16
stekliler,16
verecek,16
hukuk,16
istekli,16
dare,16
karari,15
rehberlik,15
veril,15
birlik,15
yürüt,15
doğrudan,15
uygulanma,15
al,15
yap,15
evrak,15
312,14
izlemek,14
mahalle,14
satı,14
süreç,14
alın,14
internet,14
dair,14
itibaren,14
acil,14
proje,14
aynı,14
şekil,14
elektronik,14
ver,14
yürürlük,14
kriter,14
tutar,14
kabul,14
banka,14
yönetim,14
idare,14
yasakla,14
Türkiye,14
bütünlük,13
stanbul,13
tek,13
gerekli,13
sivil,13
nci,13
sosyal,13
kurul,13
katilmaktan,13
öğren,13
yazılı,13
amaç,13
iptal,13
nin,13
nitelik,13
sıra,13
yerine,13
uygula,12
görevli,12
artır,12
katıl,12
devam,12
hospitalist,12
trg,12
ticaret,12
noter,12
takip,12
rütmek,12
sunulan,12
birlikte,12
dosya,12
idari,12
bulunduk,12
numaralı,12
politika,12
iş,12
boy,12
geliştirilme,12
fıkra,12
kısım,12
husus,12
uygunluk,12
ticari,12
yapılma,12
hayat,12
plan,12
memur,12
edilme,12
kültür,12
zorun,11
sorumluluk,11
sağ,11
hiz,11
geç,11
doğrultu,11
mak,11
585,11
kurulu,11
gün,11
talep,11
ktisadi,11
kpss,11
yüzölçümlü,11
kapalı,11
yönetici,11
uygulama,11
yayımlanan,11
arası,11
zarf,11
inci,11
sondaj,11
tür,11
sunulma,11
katalog,11
lgili,11
oda,10
vere,10
incele,10
sicil,10
nakil,10
adına,10
denklik,10
değişiklik,10
toplantı,10
cumhuriyet,10
temel,10
savun,10
şehir,10
kişilik,10
yoluyla,10
ortaöğretim,10
yüklenici,10
karotlu,10
şeklî,10
ulusal,10
düzenlen,10
met,10
ushaş,10
birinci,9
hayvan,9
benzeri,9
değerlendirmek,9
yeterlilik,9
vatandaş,9
uygulan,9
sigorta,9
çalış,9
mali,9
suretiyle,9
ayrı,9
malzeme,9
