Kelime,Frekans
2025,448
resm,416
gazet,416
nisan,401
sayfa,400
32882,400
sayı,400
eğitim,252
sağlık,163
mill,119
yürütmek,116
ilişkin,103
ilgili,101
hizmetleri,88
hale,77
olarak,73
teklif,71
tarafından,67
madd,66
kapsamında,66
işlemleri,65
sayılı,62
özel,62
bir,58
ihal,55
uluslararası,49
yer,49
halind,44
sağlamak,43
aracı,43
tesisi,43
belgesi,43
görev,42
öğretim,41
genel,39
yapmak,39
başvuru,38
hizmet,38
mevzuat,38
görevleri,37
alan,37
tarihli,36
turizmi,36
yetki,35
000,34
hükümleri,33
şartnam,33
teknik,32
okul,32
yönetmelik,32
uygun,32
belirtilen,32
üzere,32
içind,31
göre,31
olan,30
olmak,29
verilen,29
yönelik,29
tüzel,29
bilgi,28
işlemlerini,28
sınav,27
ilç,27
etmek,27
diğer,25
teminat,24
tıbbi,24
şunlardır,24
kuruluş,23
ankara,23
şubesi,23
satış,23
müdürlüğünün,23
teslim,23
mesleki,23
mühendisliği,22
olması,22
bakanlıkça,22
kadar,22
edilen,22
hizmeti,21
alanına,21
çalışmalar,21
bede,21
yapılan,21
hastanesi,21
sağlığı,21
günü,21
kontrol,21
hakkında,20
bakanlığından,20
belirlenen,20
birim,20
bakanlığı,20
bağlı,20
geçici,19
konusu,19
müdürlüğü,19
birimi,19
yabancı,19
yönetmeliği,19
komisyonu,19
açık,19
fazla,19
olup,19
alımı,18
üzerinden,18
öğrencilerin,18
şubesinin,18
bakanlık,18
işlem,18
yurt,18
haley,18
zorunludur,18
son,18
müdürlüklerind,18
belgel,18
müdürü,18
gerekmektedir,17
tarihi,17
alınan,17
şube,17
hukuk,16
devlet,16
kamu,16
denetim,16
bulunan,16
dare,16
ait,16
ada,16
takvim,16
parsel,16
posta,16
imza,16
steklil,16
gösteren,16
gerçek,15
doğrudan,15
başkanlığı,15
bölge,15
rehberlik,15
adresi,15
karari,15
cihaz,15
hizmetlerin,15
kayıt,15
kanun,15
personel,15
belgeleri,14
satın,14
elektronik,14
kabul,14
312,14
değerlendirm,14
aynı,14
destek,14
yürütülmesini,14
fon,14
müdürlükleri,14
yapılacak,14
acil,14
edilecektir,14
türk,14
izlemek,14
sahip,14
internet,14
güvenliği,14
yasaklama,14
itibaren,14
dair,14
türkiy,14
haleler,14
müdürüne,14
karar,14
şekild,14
stanbul,13
hizmetlerinin,13
yerin,13
sivil,13
sosyal,13
hak,13
tespit,13
ilan,13
taşınmaz,13
kurumlarının,13
gerekli,13
tek,13
hizmetl,13
ihaley,13
nin,13
katilmaktan,13
sınava,13
kanunu,13
mal,13
nci,13
aşağıda,13
öğrenm,13
kurumları,13
birliği,12
güvenlik,12
fiyat,12
ticaret,12
tarihind,12
esa,12
ticari,12
süresi,12
hayat,12
kişi,12
boyu,12
birlikt,12
sorumlu,12
usul,12
yapılacaktır,12
müdürlüğünden,12
noter,12
trg,12
kurum,12
mektubu,12
rütmek,12
tarihinden,12
sunulan,12
yapı,12
hospitalist,12
idari,12
numaralı,12
faaliyet,12
almak,11
turizm,11
maddesi,11
ktisadi,11
doğrultusunda,11
sondaj,11
kapalı,11
mak,11
yayımlanan,11
mahal,11
usulü,11
takip,11
hiz,11
hükümlerin,11
inci,11
kişil,11
585,11
lgili,11
dışında,11
yüzölçümlü,11
geliştirm,11
yeri,11
saat,11
kpss,11
edilmesi,11
müdürünün,11
edilir,10
çalışmaları,10
faaliyetlerini,10
bakanlığa,10
yoluyla,10
bölüm,10
kapsamındaki,10
ushaş,10
adına,10
adaylar,10
kaydıyla,10
kültür,10
karotlu,10
tesi,10
ulus,10
sunulması,10
temel,10
öğretmen,10
devam,10
bedel,10
savunma,10
gün,10
aşağıdaki,10
incelem,10
iptal,10
hizmetlerini,10
bütünlüğü,10
şehir,10
belg,10
ortak,10
sicil,10
ortaöğretim,9
kişilerin,9
mali,9
