Yeni Madde No,Yeni Madde İçeriği,Eşleşen Eski Madde,Benzerlik,Durum
MADDE 1,yönetmeliğin amacı ilç mill eğitim müdürlüklerinin teşkilat görev yetki sorumlulukları hizmetlerin yürütülmesin ilişkin esasları düzenlemektir kapsam,MADDE 2,0.083,Yeni Madde
MADDE 2,yönetmelik mill eğitim bakanlığının ilç mill eğitim dürlüklerini kapsar dayanak,MADDE 5,0.079,Yeni Madde
MADDE 3,yönetmelik 1973 tarihli 1739 sayılı mill eğitim temel kanunu sayılı cumhurbaşkanlığı teşkilatı hakkında cumhurbaşkanlığı kararnamesinin 327 nci maddesi hükümlerin dayanılarak hazırlanmıştır tanımlar,MADDE 1,0.091,Yeni Madde
MADDE 4,yönetmelikt geçen bakanlık mill eğitim bakanlığını birim mill eğitim müdürlüklerind niteliğin göre ihtisaslaşma gerektiren hiz metleri yürütmek üzere oluşturulan doğrudan mill eğitim müdürüne bağlı birimi büro lçe mill eğitim müdürlüklerind niteliğin göre ihtisaslaşma gerektiren hiz metleri yürütmek üzere oluşturulan doğrudan ilç mill eğitim müdürüne bağlı büroyu mebbi mill eğitim bakanlığı bilişim sistemlerini mebcb mill eğitim bakanlığı coğrafi bilgi sistemini mill eğitim müdürlüğü ilç mill eğitim müdürlüğünü mill eğitim müdürü ilç mill eğitim müdürünü şube müdürlüğü mill eğitim müdürlüklerind hizmetleri yürütmek üzere oluşturu lan şube müdürüne bağlı şubeleri yeği tek yenilik eğitim teknolojileri genel müdürlüğünü ifad eder nci bölüm teşkilat hizmetl görev yetkil teşkilat,MADDE 1,0.102,Yeni Madde
MADDE 5,mill eğitim müdürlüklerind hizmetlerin şube müdürlükleri tarafından yürütülmesi esastır ancak niteliği itibarıyla özellik arz eden hizmetl doğrudan mill eğitim müdürüne bağlı biriml bürolar tarafından yürütülebilir şube müdürlükleri norm kadro yısına göre birleştirilerek ayrılarak teşkilatlandırılabilir mill eğitim müdürlüklerind ilgili mevzuat hükümleri kapsamında verilen revlerin yerin getirilmesi amacıyla doğrudan mill eğitim müdürüne bağlı eğitim müfettişleri başkanlığı oluşturulur eğitim müfettişleri başkanlığı,MADDE 1,0.095,Yeni Madde
MADDE 6,eğitim müfettişleri başkanlığı eğitim müfettişleri başkanı eğitim fettişleri başkan yardımcısı yardımcıları eğitim müfettişleri eğitim müfettiş yardımcıları diğer personelden oluşur eğitim müfettişleri başkanlığı 2022 tarihli 31765 sayılı resm gazet yayımlanan mill eğitim bakanlığı eğitim müfettişleri yönetmeliğind yer alan görevleri kanlığın hedef plan programları doğrultusunda yürütür sayfa resm gazet nisan 2025 sayı 32882 şube müdürlükleri tarafından yürütülecek hizmetl,MADDE 10,0.158,Yeni Madde
MADDE 7,mill eğitim müdürlüklerind temel eğitim ortaöğretim mesleki teknik eğitim din öğretimi özel eğitim rehberlik hayat boyu öğrenm özel öğretim kurumları yenilik eğitim teknolojileri mesleki gelişim ölçme değerlendirm sınav yükseköğretim yurt dışı eğitim personel destek nşaat emlak denklik belg doğrulama strateji geliştirm bütçe tahakkuk basın halkla ilişkil hizmetleri şube müdürlükleri tarafından yürütülür biriml bürolar tarafından yürütülecek hizmetl,MADDE 1,0.089,Yeni Madde
MADDE 8,mill eğitim müdürlüklerind hukuk bilgi işlem sivil savunma sağlığı güvenliği hizmetleri biriml tarafından yürütülür lçe mill eğitim müdürlüklerind bilgi işlem sağlığı güvenliği hizmetleri bürolar tarafından yürütülür temel eğitim hizmetleri şubesi,MADDE 1,0.045,Yeni Madde
MADDE 9,temel eğitim hizmetleri şubesinin görevleri şunlardır temel eğitim genel müdürlüğünün görev alanına ilişkin hizmetl eğitim öğretim hizmetlerin ilişkin ortak görevleri yürütmek okul öncesi eğitimi yaygınlaştıracak geliştirecek çalışmalar yapmak okul öncesi eğitim ilköğretim kayıt alanlarını tespit etmek güncellemek okul öncesi eğitim ilköğretimd öğrencilerin okula devamına ilişkin işlemleri yürütmek nüfusu dağınık yerleşim yerlerindeki eğitim kurumlarının eğitim planlamasını yapmak ortaöğretim hizmetleri şubesi,MADDE 1,0.072,Yeni Madde
MADDE 10,ortaöğretim hizmetleri şubesinin görevleri şunlardır ortaöğretim genel müdürlüğünün görev alanına ilişkin hizmetl eğitim öğretim hizmetlerin ilişkin ortak görevleri yürütmek nisan 2025 sayı 32882 resm gazet sayfa bakanlıkça belirlenen politikalar doğrultusunda ortaöğretimi geliştirecek çalışmalar yapmak ortaöğretim öğrencilerinin yerel yerleştirmelerin esa adr belirlem işlem lerini gerçekleştirmek öğrencilerin sosyal etkinlikler katılımları ilgili işlemleri yürütmek mesleki teknik eğitim hizmetleri şubesi,MADDE 5,0.042,Yeni Madde
