Yeni Madde No,Yeni Madde İçeriği,Eşleşen Eski Madde,Benzerlik,Durum
MADDE 1,yönetmelik amaç ilçe mill eğitim müdürlük teşkilat görev yetki sorumluluk hizmet yürütülme ilişkin esas düzenlemek kapsam,MADDE 21,0.088,Yeni Madde
MADDE 2,yönetmelik mill eğitim bakanlık ilçe mill eğitim dürlüklerini kapsa dayanak,MADDE 1,0.103,Yeni Madde
MADDE 3,yönetmelik 1973 tarihli 1739 sayılı mill eğitim temel kanun sayılı cumhurbaşkanlığı teşkilat hakkında cumhurbaşkanlığı kararname 327 nci madde hüküm dayanılarak hazırlan tanım,MADDE 1,0.093,Yeni Madde
MADDE 4,yönetmelik geçen bakanlık mill eğitim bakanlık birim mill eğitim müdürlük nitelik göre ihtisaslaş gerektiren hiz met yürütmek üzere oluşturulan doğrudan mill eğitim müdür bağlı birim büro lçe mill eğitim müdürlük nitelik göre ihtisaslaş gerektiren hiz met yürütmek üzere oluşturulan doğrudan ilçe mill eğitim müdür bağlı büro mebbi mill eğitim bakanlık biliş sistem mebcbs mill eğitim bakanlık coğrafi bilgi sistem mill eğitim müdürlük ilçe mill eğitim müdürlük mill eğitim müdür ilçe mill eğitim müdür şube müdürlük mill eğitim müdürlük hizmet yürütmek üzere oluştur lan şube müdür bağlı şube yeğ tek yenilik eğitim teknoloji genel müdürlük ifade eder nci bölüm teşkilat hizmet görev yetki teşkilat,MADDE 1,0.131,Yeni Madde
MADDE 5,mill eğitim müdürlük hizmet şube müdürlük tarafından yürütülme esas ancak nitelik itibarıyla özellik arz ede hizmet doğrudan mill eğitim müdür bağlı birim büro tarafından yürütülebil şube müdürlük norm kadro yısına göre birleştirilerek ayrılarak teşkilatlandırılabil mill eğitim müdürlük ilgili mevzuat hüküm kapsam verilen revlerin yerine getirilme amaç doğrudan mill eğitim müdür bağlı eğitim müfettiş başkanlık oluşturul eğitim müfettiş başkanlık,MADDE 10,0.137,Yeni Madde
MADDE 6,eğitim müfettiş başkanlık eğitim müfettiş başkan eğitim fettişleri başkan yardımcı yardımcı eğitim müfettiş eğitim müfettiş yardımcı diğer personel oluş eğitim müfettiş başkanlık 2022 tarihli 31765 sayılı resm gazete yayımlanan mill eğitim bakanlık eğitim müfettiş yönetmelik yer alan görev kanlık hedef plan program doğrultu yürüt sayfa resm gazete nisan 2025 sayı 32882 şube müdürlük tarafından yürütül hizmet,MADDE 10,0.301,Yeni Madde
MADDE 7,mill eğitim müdürlük temel eğitim ortaöğretim mesleki teknik eğitim din öğretim özel eğitim rehberlik hayat boy öğren özel öğretim kurum yenilik eğitim teknoloji mesleki geliş ölç değerlendir sınav yükseköğretim yurt dış eğitim personel destek nşaat emlak denklik belge doğrula strateji geliştir bütçe tahakkuk basın halk ilişki hizmet şube müdürlük tarafından yürütül birim büro tarafından yürütül hizmet,MADDE 21,0.131,Yeni Madde
MADDE 8,mill eğitim müdürlük hukuk bilgi işlem sivil savun sağlık güvenlik hizmet birim tarafından yürütül lçe mill eğitim müdürlük bilgi işlem sağlık güvenlik hizmet büro tarafından yürütül temel eğitim hizmet şube,MADDE 1,0.08,Yeni Madde
MADDE 9,temel eğitim hizmet şube görev şunlar temel eğitim genel müdürlük görev alan ilişkin hizmet eğitim öğretim hizmet ilişkin ortak görev yürütmek okul önce eğitim yaygınlaştır geliştir çalışma yapmak okul önce eğitim ilköğretim kayıt alan tespit etmek güncellemek okul önce eğitim ilköğretim öğrenci okul devam ilişkin işlem yürütmek nüfus dağınık yerleşim yer eğitim kurum eğitim planlama yapmak ortaöğretim hizmet şube,MADDE 1,0.093,Yeni Madde
MADDE 10,ortaöğretim hizmet şube görev şunlar ortaöğretim genel müdürlük görev alan ilişkin hizmet eğitim öğretim hizmet ilişkin ortak görev yürütmek nisan 2025 sayı 32882 resm gazete sayfa bakanlık belirlenen politika doğrultu ortaöğretim geliştir çalışma yapmak ortaöğretim öğrenci yerel yerleştirme esas adres belirle işlem lerini gerçekleştirmek öğrenci sosyal etkinlik katılımlar ilgili işlem yürütmek mesleki teknik eğitim hizmet şube,MADDE 21,0.08,Yeni Madde
